,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
117,Kellton Tech,8,9.81,1.65,"['7.75', '6.30', '6.16', '7.11']","['16.91', '16.94', '23.37', '26.29']","['21.29', '20.42', '29.70', '32.44']"
118,Pan India Corp,0,0.00,0.75,"['--', '--', '--', '--']","['-7.61', '0.10', '-29.59', '-10.88']","['-6.35', '0.11', '-24.98', '-9.51']"
119,Odyssey Tech,0,49.72,2.50,"['8.58', '2.65', '4.75', '5.78']","['5.02', '1.24', '8.63', '14.46']","['6.72', '3.24', '11.93', '17.73']"
120,Indian Infotech,0,-4.45,0.22,"['--', '0.29', '--', '--']","['-4.96', '-2.06', '0.33', '0.36']","['-4.94', '0.86', '0.10', '-0.02']"
121,Contech Soft,0,58.75,0.17,"['--', '--', '--', '84.15']","['0.30', '-0.63', '0.91', '-0.52']","['0.55', '-0.41', '1.21', '1.23']"
122,Sankhya Infotec,0,-0.59,0.14,"['-141.63', '-137.78', '0.65', '2.66']","['-22.91', '-176.86', '-1.48', '8.21']","['-21.25', '-155.38', '2.44', '11.73']"
123,L&T Infotech,234,36.53,9.70,"['33.85', '25.25', '192.30', '92.82']","['26.50', '28.12', '30.97', '28.80']","['33.02', '32.11', '40.58', '27.75']"
124,3i Infotech,570,3.08,1.64,"['-0.11', '0.63', '1.96', '1.92']","['53.29', '18.25', '22.09', '34.09']","['-1.89', '3.52', '14.06', '15.09']"
125,Compucom Soft,12,35.40,0.55,"['5.60', '1.72', '3.59', '8.18']","['1.53', '0.33', '2.81', '3.60']","['2.28', '1.19', '5.07', '6.11']"
126,Meglon Infra,0,-15.91,1.07,"['--', '--', '--', '--']","['-6.85', '-0.42', '-2.26', '-0.09']","['-6.85', '-0.42', '-2.26', '-0.09']"
127,Globalspace Tec,2,0.00,1.90,"['10.59', '7.36', '3.49', '4.86']","['15.55', '12.15', '3.42', '7.15']","['19.57', '17.00', '7.53', '11.79']"
128,Persistent,51,32.59,5.25,"['106.19', '72.44', '1,595.55', '5,434.68']","['16.12', '14.26', '14.99', '15.18']","['21.24', '18.76', '20.52', '14.87']"
129,FCS Software,0,-9.29,0.70,"['1.60', '-5.92', '-153.99', '-150.69']","['-7.44', '-14.19', '-48.02', '-17.12']","['1.13', '-5.10', '-43.37', '-16.30']"
130,Infronics Syst,0,28.70,-5.27,"['118.14', '--', '--', '--']","['-17.89', '0.00', '0.00', '0.00']","['-21.38', '25.05', '33.24', '322.93']"
131,Everest Market,0,364.33,1.25,"['5.40', '-404.00', '211.00', '29.00']","['0.36', '-0.71', '0.74', '0.39']","['0.06', '-0.96', '0.99', '0.41']"
132,SPEL Semiconduc,0,0.00,0.89,"['-3.85', '1.96', '-2.87', '-2.34']","['-11.98', '1.33', '-13.84', '-9.73']","['-3.83', '2.27', '-6.85', '-5.24']"
133,Lee and Nee,0,230.00,0.23,"['--', '--', '--', '--']","['0.74', '0.13', '0.03', '0.33']","['0.77', '0.20', '0.04', '0.33']"
134,TVS Electronics,-5,311.71,2.93,"['1.49', '2.47', '44.41', '15.62']","['0.94', '0.48', '8.55', '19.43']","['3.27', '6.61', '20.03', '18.70']"
135,Saven Tech,2,14.95,2.11,"['--', '--', '--', '--']","['14.13', '18.48', '18.95', '13.19']","['17.84', '24.93', '26.29', '17.65']"
136,MRO-TEK,0,-6.24,-6.81,"['-0.25', '0.03', '-2.67', '3.85']","['0.00', '0.00', '-269.72', '53.39']","['-7.59', '2.14', '-174.61', '69.23']"
137,Megri Soft,0,33.15,0.74,"['--', '2,458.00', '108.29', '39.95']","['2.23', '1.86', '2.09', '1.87']","['2.95', '2.50', '2.92', '2.50']"
