,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
276,Transwarranty Finance Ltd,,-17.3,"['2.13', '-0.81', '-1.26', '-1.21', '-5.15', '-0.86', '-0.88', '-0.49']","['0.87', '-0.33', '-0.52', '-0.49', '-2.11', '-0.35', '-0.36', '-0.20']","['0.53', '5.48', '-4.69', '-3.38', '-1.98']","['158.04', '363.10', '173.69', '66.45', '114.75']"
277,Karnavati Finance Ltd,,0.95,"['0.58', '0.12', '-0.69', '0.85', '-0.17', '0.11', '-0.31', '0.22']","['0.58', '0.12', '-0.69', '0.85', '-0.17', '0.11', '-0.31', '0.22']","['0.34', '-0.16', '0.13', '-0.21', '0.15']","['-0.00', '-0.00', '-0.00', '-0.00', '-0.00']"
278,Octal Credit Capital Ltd,7.12,4.11,"['-0.61', '-0.03', '0.05', '-0.23', '-0.74', '0.27', '0.05', '0.64']","['-1.22', '-0.06', '0.10', '-0.46', '-1.48', '0.54', '0.10', '1.28']","['0.16', '-1.05', '0.30', '-0.23', '0.56']","['50.69', '73.00', '128.80', '58.40', '0.00']"
279,Greencrest Financial Services Ltd,20.4,0.95,"['0.22', '0.44', '-0.20', '0.35', '-0.14', '0.62', '0.28', '0.49']","['0.06', '0.12', '-0.05', '0.10', '-0.04', '0.17', '0.08', '0.13']","['0.27', '-0.30', '-0.06', '0.25', '-0.24']","['54,956.83', '544.78', '504.14', '298.43', '613.87']"
280,SMIFS Capital Markets Ltd,185,0.07,"['0.08', '0.51', '0.11', '0.30', '-0.85', '0.11', '0.33', '1.56']","['0.14', '0.91', '0.20', '0.54', '-1.52', '0.20', '0.59', '2.79']","['0.43', '-0.16', '0.46', '2.15', '-2.04']","['66.68', '17.66', '495.18', '281.57', '201.15']"
281,Oracle Credit Ltd,79.2,2.73,"['0.03', '0.03', '0.03', '0.02', '0.05', '0.04', '0.04', '0.04']","['0.05', '0.05', '0.05', '0.04', '0.09', '0.07', '0.07', '0.07']","['', '', '0.07', '0.17', '-0.15']","['0.00', '0.00', '0.00', '0.00', '0.00']"
282,Gilada Finance & Investments Ltd,25.6,7.40,"['0.02', '0.31', '0.24', '0.30', '0.09', '0.14', '0.30', '0.61']","['0.06', '0.88', '0.68', '0.85', '0.26', '0.40', '0.85', '1.74']","['-0.02', '0.11', '-0.02', '', '-0.03']","['0.00', '0.00', '0.00', '0.00', '0.00']"
283,Intellivate Capital Ventures Ltd,767,2.76,"['0.13', '-0.05', '-0.03', '-0.04', '0.25', '-0.06', '-0.03', '-0.02']","['0.04', '-0.02', '-0.01', '-0.01', '0.09', '-0.02', '-0.01', '-0.01']","['1.41', '1.65', '-4.66', '-0.05', '-0.02']","['146.00', '31.47', '182.50', '0.00', '146.00']"
284,Vertex Securities Ltd,88.2,7.42,"['-0.03', '-0.13', '-0.38', '-0.32', '-3.42', '0.24', '0.23', '0.12']","['-0.00', '-0.02', '-0.05', '-0.04', '-0.46', '0.03', '0.03', '0.02']","['-0.92', '6.83', '-4.85', '-2.89', '-1.79']","['197.72', '656.70', '503.83', '140.58', '277.87']"
285,Jindal Capital Ltd,41.3,5.23,"['0.21', '-0.01', '-0.07', '0.02', '-0.05', '0.19', '0.23', '0.09']","['0.29', '-0.01', '-0.10', '0.03', '-0.07', '0.26', '0.32', '0.12']","['0.00', '0.30', '-0.35', '-0.03', '0.04']","['73.78', '27.38', '51.66', '49.82', '6.20']"
286,Prism Finance Ltd,1.56,34.9,"['0.12', '-0.77', '-2.31', '0.33', '1.51', '1.35', '-2.12', '3.56']","['0.18', '-1.18', '-3.55', '0.51', '2.32', '2.08', '-3.26', '5.48']","['0', '0', '0', '-0', '0']","['13,505', '376', '365', '8,395', '470']"
287,Cubical Financial Services Ltd,61.2,1.61,"['0.06', '0.07', '0.10', '0.13', '0.16', '0.07', '0.06', '0.16']","['0.01', '0.01', '0.02', '0.02', '0.02', '0.01', '0.01', '0.02']","['0.11', '-0.09', '0.03', '0.02', '-0.01']","['0.00', '70.19', '8.90', '62.32', '670.62']"
288,Kapashi Commercials Ltd,5.17,-3.14,"['0.02', '0.02', '0.13', '-0.04', '0.12', '0.01', '0.01', '-0.19']","['0.08', '0.08', '0.52', '-0.16', '0.48', '0.04', '0.04', '-0.76']","['', '-1.97', '-0.18', '', '0.02']","['39.36', '16.65', '23.64', '0.00', '0.00']"
289,Glance Finance Ltd,10.2,7.26,"['0.02', '0.31', '0.73', '0.03', '-0.96', '0.24', '0.46', '0.52']","['0.07', '1.03', '3.24', '0.13', '-4.26', '1.06', '2.04', '2.31']","['-0.09', '-1.80', '-0.12', '0.19', '0.00']","['44.42', '111.30', '224.15', '119.42', '177.45']"
290,India Cements Capital Ltd,94.5,-3.30,"['-0.05', '0.13', '0.04', '0.08', '-0.24', '-0.28', '-0.20', '-0.03']","['-0.02', '0.06', '0.02', '0.04', '-0.11', '-0.13', '-0.09', '-0.01']","['0.31', '1.25', '-1.79', '1.23', '0.00']","['83.69', '184.83', '2.70', '2.25', '2.70']"
291,Bervin Investments & Leasing Ltd,1.51,17.2,"['9.97', '0.77', '1.52', '0.60', '-2.22', '4.14', '0.18', '0.09']","['16.90', '1.31', '2.58', '1.02', '-3.76', '7.02', '0.31', '0.15']","['0', '-0', '-0', '0', '1']","['0', '0', '0', '2,469', '0']"
292,Alacrity Securities Ltd,10.6,12.1,"['0.00', '-1.40', '0.00', '-1.65', '0.00', '-4.23']","['0.00', '-0.66', '0.00', '-0.78', '0.00', '-2.01']","['5', '4', '-3', '-1', '0']","['751', '788', '255', '18', '-2,394']"
293,Canopy Finance Ltd,353,16.6,"['-0.13', '-0.10', '0.16', '-0.03', '-3.09', '0.84', '0.01', '0.38']","['-0.14', '-0.11', '0.17', '-0.03', '-3.33', '0.90', '0.01', '0.41']","['', '', '0.00', '0.03', '0.10']","['', '', '0.00', '0.00', '0.00']"
294,Ontic Finserve Ltd,26.7,0.92,"['-0.05', '0.10', '0.28', '0.22', '-0.57', '0.02', '0.03', '0.01']","['-0.06', '0.11', '0.31', '0.24', '-0.63', '0.02', '0.03', '0.01']","['', '', '0.25', '-0.17', '-0.26']","['', '365.00', '237.25', '0.00', '357.55']"
295,Escorts Finance Ltd,,,"['0.33', '0.13', '-0.05', '-0.05', '0.12', '-0.06', '0.13', '-0.07']","['0.08', '0.03', '-0.01', '-0.01', '0.03', '-0.01', '0.03', '-0.02']","['0.23', '0.27', '-1.18', '-0.08', '0.00']","['8.90', '0.00', '0.00', '0.00', '0.00']"
296,Nam Securities Ltd,61.9,3.30,"['0.18', '0.04', '0.10', '0.26', '-0.10', '0.05', '0.16', '0.17']","['0.59', '0.13', '0.33', '0.85', '-0.33', '0.16', '0.30', '0.32']","['0.19', '-0.04', '0.00', '0.03', '0.00']","['229.19', '55.54', '60.83', '23.55', '615.14']"
297,Meenakshi Enterprises Ltd,,-2.22,"['-0.47', '0.10', '-0.64', '0.11', '0.00', '0.17', '-0.08', '0.10']","['-0.38', '0.08', '-0.52', '0.09', '0.00', '0.14', '-0.06', '0.08']","['-0.02', '0.84', '-0.68', '0.05', '1.09']","['1,030.95', '359.38', '590.44', '187.39', '208.11']"
298,Nalin Lease Finance Ltd,8.70,11.9,"['0.27', '0.47', '0.32', '0.49', '0.71', '0.22', '0.84', '0.88']","['0.83', '1.44', '0.98', '0.75', '1.08', '0.34', '1.28', '1.34']","['-0.53', '0.09', '1.01', '-0.05', '-0.95']","['10.25', '985.86', '889.40', '783.92', '680.33']"
299,Sellwin Traders Ltd,50.7,-14.7,"['-0.02', '-0.05', '-0.02', '-0.02', '0.08', '0.04', '-0.02', '-0.03']","['-0.02', '-0.06', '-0.02', '-0.02', '0.10', '0.05', '-0.02', '-0.04']","['0.01', '0.00', '0.05', '0.00', '0.02']","['0.00', '0.00', '0.00', '121.67', '0.00']"
300,Franklin Leasing & Finance Ltd,101,0.54,"['0.10', '0.07', '0.03', '0.14', '0.19']","['0.06', '0.04', '0.02', '0.09', '0.12']","['0.00', '0.06', '-0.06', '0.47', '0.36']","['', '', '0.00', '0.00', '-2,692.17']"
301,Econo Trade India Ltd,47.7,1.86,"['-0.86', '0.24', '0.04', '0.10', '0.08', '0.18', '0.43', '0.35']","['-0.46', '0.13', '0.02', '0.05', '0.04', '0.10', '0.23', '0.19']","['', '', '0.00', '-0.09', '-0.06']","['1,395.95', '984.63', '646.06', '240.27', '453.15']"
302,Stephanotis Finance Ltd,,-0.08,"['-0.15', '0.57', '0.46', '-0.01', '-0.90', '-0.00', '0.01', '-0.00']","['-0.23', '0.88', '0.71', '-0.02', '-1.40', '-0.00', '0.02', '-0.00']","['0.09', '-0.04', '0.11', '-0.10', '-0.00']","['112.70', '488.50', '3,196.52', '122.45', '46.92']"
303,Optimus Finance Ltd,9.24,12.7,"['0.61', '0.31', '0.31', '0.46', '0.52', '0.33', '0.85', '0.52']","['1.09', '0.56', '0.56', '0.83', '0.93', '0.59', '1.53', '0.93']","['-0.16', '0.11', '1.42', '-1.48', '3.91']","['-0.00', '16.34', '-0.00', '287.09', '121.10']"
304,Siel Financial Services Ltd,,,"['-0.05', '-0.01', '-0.07', '-0.02', '-0.06', '-0.01', '-0.01', '-0.03']","['-0.04', '-0.01', '-0.06', '-0.02', '-0.05', '-0.01', '-0.01', '-0.03']","['-0.04', '-0.06', '-0.13', '-0.05', '-0.03']","['0.00', '0.00', '0.00', '0.00', '0.00']"
305,Panafic Industrials Ltd,68.3,3.40,"['0.32', '0.03', '0.02', '0.03', '-0.25', '0.01', '0.01', '0.01']","['0.04', '0.00', '0.00', '0.00', '-0.03', '0.00', '0.00', '0.00']","['-0.69', '0.30', '0.09', '0.72', '-0.11']","['140.90', '182.20', '56.29', '52.23', '299.82']"
306,Onelife Capital Advisors Ltd,,-0.06,"['1.18', '-0.72', '-0.94', '-0.30', '0.33', '-0.11', '-0.17', '0.04']","['0.88', '-0.54', '-0.70', '-0.22', '0.25', '-0.08', '-0.13', '0.03']","['1.05', '20.02', '-14.75', '-14.80', '1.45']","['-1,070.84', '121.87', '0.71', '2.06', '4.18']"
307,Qgo Finance Ltd,23.2,8.18,"['0.19', '0.12', '0.15', '0.17', '0.15', '0.16', '0.15', '0.16']","['0.27', '0.17', '0.22', '0.24', '0.22', '0.23', '0.22', '0.23']","['-0.03', '-0.08', '0.21', '0.00', '-0.10']","['0.00', '0.00', '0.00', '0.00', '0.00']"
308,India Lease Development Ltd,265,-0.20,"['-0.24', '0.04', '1.07', '0.30', '-0.11', '0.02', '0.02', '-0.01']","['-0.16', '0.03', '0.73', '0.20', '-0.07', '0.01', '0.01', '-0.01']","['-0.19', '3.68', '-3.63', '0.85', '-0.60']","['9,802.86', '1,199.29', '1,476.40', '1,770.74', '3,236.97']"
309,Trishakti Electronics & Industries Ltd,19.2,1.88,"['0.24', '-0.01', '0.04', '0.03', '0.07', '0.04', '-0.18', '-0.16']","['0.81', '-0.03', '0.13', '0.10', '0.24', '0.13', '-0.61', '-0.54']","['2.22', '0.31', '1.76', '-1.40', '-1.07']","['176.13', '-6.49', '81.30', '130.52', '104.91']"
310,Sunshine Capital Ltd,,0.87,"['-0', '0', '1', '1', '-2', '1', '1', '1']","['-0.12', '0.31', '0.65', '0.68', '-1.25', '0.58', '0.57', '0.71']","['-0', '2', '-1', '-1', '-0']","['31', '0', '0', '0', '0']"
311,Intellivate Capital Advisors Ltd,55.3,3.69,"['0.33', '-0.05', '-0.03', '0.02', '0.26', '-0.04', '-0.02', '-0.02']","['0.11', '-0.02', '-0.01', '0.01', '0.08', '-0.01', '-0.01', '-0.01']","['', '-0.34', '-0.06', '0.03', '0.69']","['101.39', '519.42', '389.33', '573.57', '60.83']"
312,Moongipa Securities Ltd,8.23,21.6,"['0.05', '-0.23', '-0.03', '0.01', '-0.75', '0.11', '0.32', '0.50']","['0.10', '-0.46', '-0.06', '0.02', '-1.50', '0.22', '0.64', '1.00']","['0.30', '-0.04', '0.01', '-0.31', '0.20']","['48.67', '67.98', '290.36', '433.90', '640.97']"
313,Comfort Commotrade Ltd,,58.3,"['0.13', '-0.17', '0.94', '1.38', '-0.43', '6.97', '-0.30', '10.06']","['0.13', '-0.17', '0.94', '1.38', '-0.43', '6.96', '-0.30', '10.04']","['0', '0', '3', '-3', '1']","['100', '86', '49', '8', '32']"
314,Easun Capital Markets Ltd,21.0,4.54,"['0.18', '0.23', '0.15', '0.13', '-0.06', '0.26', '0.23', '0.19']","['0.34', '0.44', '0.29', '0.25', '-0.11', '0.50', '0.44', '0.36']","['-0.03', '0.01', '-0.01', '-0.02', '0.00']","['1,387.00', '253.39', '593.12', '1,937.31', '949.00']"
315,Daulat Securities Ltd,5.87,11.2,"['0.87', '-0.31', '-0.25', '-0.02', '-0.49', '0.48', '0.26', '0.52']","['1.74', '-0.62', '-0.50', '-0.04', '-0.98', '0.96', '0.52', '1.04']","['-0.26', '-0.02', '0.84', '-1.01', '-0.11']","['61.30', '42.79', '77.11', '56.15', '112.31']"
316,Goenka Business & Finance Ltd,30.5,1.56,"['9.13', '0.06', '0.26', '-0.70', '-1.05', '1.48', '-0.85', '-0.45']","['7.02', '0.05', '0.20', '-0.54', '-0.81', '1.14', '-0.65', '-0.35']","['-0', '0', '0', '-0', '1']","['-46', '-147', '-155', '-110', '-126']"
317,Indus Finance Ltd,,3.87,"['-0.30', '0.08', '-0.03', '-0.11', '0.11', '0.58', '0.58', '-0.43']","['-0.32', '0.09', '-0.03', '-0.12', '0.12', '0.63', '0.63', '-0.46']","['-0.04', '0.01', '0.01', '0.15', '0.00']","['3,373.48', '0.00', '18.99', '54.23', '6.58']"
318,Indo Asia Finance Ltd,6.63,2.47,"['-0.81', '-0.19', '-0.42', '-0.22', '-0.28', '-0.20', '-0.16', '-0.09']","['-0.90', '-0.21', '-0.47', '-0.24', '-0.31', '-0.22', '-0.18', '-0.10']","['-0.76', '0.18', '0.02', '0.49', '-0.67']","['60.40', '-0.00', '-0.00', '-0.00', '-0.00']"
319,Shreevatsaa Finance & Leasing Ltd,12.9,2.93,"['0.13', '0.15', '0.16', '0.14', '0.06', '0.15', '-0.03', '-0.02']","['0.13', '0.15', '0.16', '0.14', '0.06', '0.15', '-0.03', '-0.02']","['0.21', '-0.03', '-0.29', '0.01', '0.20']","['0.00', '', '328.50', '27.29', '30.29']"
320,Srestha Finvest Ltd,19.2,-4.09,"['0.42', '0.03', '0.24', '0.34', '-0.87', '0.28', '-1.33', '0.34']","['0.05', '0.00', '0.03', '0.04', '-0.11', '0.03', '-0.16', '0.04']","['-0.07', '0.07', '-0.24', '-0.77', '1.24']","['356.31', '76.40', '800.97', '121.67', '52.14']"
321,Visco Trade Associates Ltd,26.3,-0.20,"['0.22', '-0.21', '-0.63', '-0.03', '-1.38', '0.15', '0.24', '-0.04']","['0.46', '-0.44', '-1.31', '-0.06', '-2.87', '0.31', '0.50', '-0.08']","['0.50', '-0.22', '0.02', '0.21', '-0.21']","['595.46', '146.89', '157.11', '26.30', '54.03']"
322,Nagreeka Capital & Infrastructure Ltd,,0.82,"['-37.22', '-10.41', '-6.46', '-10.81', '-37.05', '0.12', '0.05', '8.54']","['-29.50', '-8.25', '-5.12', '-8.57', '-29.37', '0.10', '0.04', '6.77']","['0.05', '0.01', '0.41', '-0.17', '-0.01']","['418.17', '674.57', '2,116.76', '3,991.38', '117.68']"
323,Roselabs Finance Ltd,,,"['-0.05', '-0.06', '-0.03', '-0.03', '-0.03', '-0.01', '-2.79', '-0.03']","['-0.05', '-0.06', '-0.03', '-0.03', '-0.03', '-0.01', '-2.79', '-0.03']","['1.27', '-1.21', '0.86', '0.53', '-1.46']","['', '0.00', '1,787.24', '65.77', '30.06']"
324,BAMPSL Securities Ltd,,0.05,"['-0.65', '-0.01', '-0.50', '-0.09', '0.12', '0.15', '-0.05', '-0.01']","['-0.19', '-0.00', '-0.15', '-0.03', '0.04', '0.04', '-0.01', '-0.00']","['-0.02', '-0.04', '0.22', '-0.38', '0.03']","['5,016.81', '26.42', '48.23', '1,052.48', '2,727.89']"
325,Worth Investment & Trading Company Ltd,32.7,0.84,"['-0.06', '0.01', '0.01', '0.22', '-0.18', '0.04', '0.03', '0.06']","['-0.18', '0.03', '0.03', '0.67', '-0.55', '0.12', '0.09', '0.18']","['0.45', '-0.26', '-0.12', '0.00', '0.03']","['60.83', '0.00', '224.62', '324.89', '0.00']"
326,MPIL Corporation Ltd,55.7,0.99,"['0.12', '0.01', '0.72', '-0.14', '-0.23', '0.10', '0.01', '0.02']","['2.10', '0.17', '12.60', '-2.45', '-4.02', '1.75', '0.17', '0.35']","['-7.04', '-0.81', '4.03', '-6.50', '-1.08']","['', '', '0.00', '0.00', '0.00']"
327,Margo Finance Ltd,,0.43,"['-0.09', '-0.01', '0.07', '-0.08', '0.02', '-0.01', '0.10', '0.12']","['-0.20', '-0.02', '0.15', '-0.18', '0.04', '-0.02', '0.22', '0.26']","['0.07', '-0.02', '0.01', '0.02', '0.02']","['9.86', '13.04', '79.84', '36.50', '13.04']"
328,Global Capital Markets Ltd,25.8,0.80,"['-2.22', '0.40', '0.07', '0.15', '-2.84', '0.23', '0.13', '0.34']","['-0.89', '0.16', '0.03', '0.06', '-1.14', '0.09', '0.05', '0.14']","['0.69', '0.91', '-1.61', '0.54', '1.47']","['-243.86', '41.31', '155.74', '155.20', '1,332.77']"
329,S P Capital Financing Ltd,2.06,35.0,"['0.06', '0.05', '0.06', '0.07', '0.04', '0.04', '0.04', '0.04']","['0.10', '0.08', '0.10', '0.12', '0.07', '0.07', '0.07', '0.07']","['3.12', '-2.26', '-1.64', '2.43', '4.08']","['39.03', '204.34', '355.14', '130.69', '128.73']"
330,Inter Globe Finance Ltd,,0.80,"['-0.33', '1.54', '-0.43', '-3.84', '-0.99', '0.47', '0.85', '0.59']","['-0.48', '2.26', '-0.63', '-5.63', '-1.45', '0.69', '1.25', '0.86']","['0.22', '1.03', '1.25', '-2.66', '-3.50']","['0.00', '3.76', '126.03', '3,528.86', '338.29']"
331,KJMC Financial Services Ltd,,-3.11,"['-0.34', '-0.50', '-0.36', '-0.50', '-0.29', '-0.32', '-0.54', '-0.68']","['-0.71', '-1.04', '-0.75', '-1.04', '-0.61', '-0.67', '-1.13', '-1.42']","['-0.18', '0.29', '-0.90', '-0.10', '0.04']","['28.08', '0.00', '0.00', '0.00', '0.00']"
332,Purshottam Investofin Ltd,3.74,1.90,"['1.51', '-0.03', '0.03', '-0.22', '0.45', '0.60', '0.18', '-0.21']","['2.40', '-0.05', '0.05', '-0.35', '0.72', '0.95', '0.29', '-0.33']","['', '', '1.05', '-0.87', '-0.63']","['0.00', '0.00', '34.58', '0.00', '2,405.20']"
333,Gemstone Investments Ltd,,1.66,"['-0.07', '0.36', '0.35', '0.42', '-0.39', '0.36', '0.41', '0.43']","['-0.01', '0.05', '0.05', '0.06', '-0.05', '0.05', '0.05', '0.06']","['0.16', '-0.19', '0.14', '0.06', '-0.24']","['-0.00', '-0.00', '-0.00', '6.76', '10.05']"
334,Naysaa Securities Ltd,32.4,14.3,"['-0.60', '0.88', '0.18', '0.23', '0.65']","['-1.73', '2.53', '0.52', '0.66', '1.87']","['', '1.30', '-0.79', '-0.17', '0.12']","['10.36', '407.12', '36.93', '143.07', '126.69']"
335,Oasis Securities Ltd,5.69,32.7,"['-1.06', '0.07', '0.24', '-0.25', '-1.72', '0.34', '1.41', '1.64']","['-5.73', '0.38', '1.30', '-1.35', '-9.30', '1.84', '7.62', '8.86']","['-0.54', '-2.90', '-0.05', '0.02', '0.25']","['5.05', '6.32', '3,568.16', '152.65', '14.36']"
336,Stellar Capital Services Ltd,15.1,1.84,"['0.15', '0.11', '0.25', '1.08', '-0.22', '0.28']","['0.06', '0.04', '0.10', '0.43', '-0.09', '0.11']","['2.24', '-0.50', '-1.22', '5.90', '-4.96']","['0.00', '-106.28', '-374.71', '136.68', '233.80']"
337,KJMC Corporate Advisors (India) Ltd,,-3.75,"['-0.27', '-0.74', '0.39', '-1.02', '0.59', '0.63', '2.36', '2.51']","['-0.77', '-1.88', '0.99', '-2.60', '1.50', '1.60', '6.01', '6.39']","['', '0.06', '-0.61', '1.15', '0.28']","['2,820.82', '153.24', '118.73', '6.14', '39.76']"
338,Amrapali Capital and Finance Services Ltd,,-1.11,"['0.00', '0.37']","['0.00', '0.38']","['11', '-31', '-10', '-6', '20']","['-2,054', '354', '852', '-426', '14']"
339,Escorp Asset Management Ltd,,0.00,"['-0.06', '-0.05', '0.05', '-0.02', '0.02', '6.19']","['-0.09', '-0.07', '0.07', '-0.03', '0.03', '9.28']","['0.00', '0.00', '0.00', '0.00', '0.00']","['', '', '', '', '']"
340,Continental Securities Ltd,26.0,6.85,"['0.03', '0.04', '0.05', '0.06', '0.08', '0.05', '0.11', '0.08']","['0.09', '0.12', '0.15', '0.18', '0.25', '0.15', '0.26', '0.19']","['-0.03', '0.04', '-0.02', '0.04', '-0.07']","['0.00', '0.00', '0.00', '0.00', '0.00']"
341,Goyal Associates Ltd,,2.03,"['0.13', '-0.29', '0.03', '0.05', '0.37', '0.02', '-0.01', '0.05']","['0.03', '-0.06', '0.01', '0.01', '0.08', '0.00', '-0.00', '0.01']","['2.22', '-0.06', '-0.06', '0.09', '-0.19']","['86.75', '68.19', '432.85', '27.30', '629.28']"
342,Voltaire Leasing & Finance Ltd,68.7,0.31,"['0.04', '0.10', '-0.33', '0.05', '0.19', '0.10', '0.05', '0.01']","['0.10', '0.24', '-0.80', '0.12', '0.46', '0.24', '0.12', '0.02']","['0.20', '-0.02', '0.03', '1.09', '-1.06']","['121.30', '388.88', '', '608.33', '2.80']"
343,KBS India Ltd,22.3,0.24,"['-0.70', '-0.23', '0.31', '0.31', '0.06', '-0.02', '-0.09', '0.01']","['-0.82', '-0.27', '0.36', '0.36', '0.07', '-0.02', '-0.11', '0.01']","['-0.05', '1.01', '1.40', '-0.65', '-0.43']","['3,560.98', '2,206.72', '4,387.77', '1,863.98', '1,360.78']"
344,J Taparia Projects Ltd,,-0.13,"['-0.03', '-0.08', '-0.03', '-0.02', '0.07', '0.04', '-0.02', '-0.03']","['-0.02', '-0.05', '-0.02', '-0.01', '0.04', '0.02', '-0.01', '-0.02']","['', '', '0.09', '0.10', '-0.13']","['0.00', '0.00', '0.00', '292.00', '73.00']"
345,Northlink Fiscal & Capital Services Ltd,110,3.06,"['-0.04', '0.11', '-0.01', '-0.03', '0.13', '0.05', '0.02', '0.01']","['-0.08', '0.21', '-0.02', '-0.06', '0.25', '0.10', '0.04', '0.02']","['', '', '0.10', '0.66', '-0.05']","['152,205.00', '', '77,015.00', '2,622.91', '-103.22']"
346,Wagend Infra Venture Ltd,172,0.42,"['0.04', '0.01', '0.04', '0.05', '-0.02', '0.02', '0.02', '0.03']","['0.01', '0.00', '0.01', '0.01', '-0.00', '0.00', '0.00', '0.01']","['0.22', '0.04', '0.44', '-0.58', '-0.13']","['0.00', '346.64', '160.05', '284.93', '1,415.02']"
347,J J Finance Corporation Ltd,37.5,3.49,"['0.00', '0.06', '0.11', '0.04', '-0.06', '0.04', '0.09', '0.04']","['0.00', '0.21', '0.39', '0.14', '-0.21', '0.14', '0.32', '0.14']","['-0.43', '0.04', '0.33', '0.01', '0.01']","['11.59', '410.62', '91.25', '107.84', '0.00']"
348,Abhinav Leasing & Finance Ltd,"1,185",1.61,"['0.85', '0.01', '-0.03', '0.03', '0.00', '-0.05', '0.15', '0.05']","['0.17', '0.00', '-0.01', '0.01', '0.00', '-0.01', '0.03', '0.01']","['', '0.00', '-0.11', '0.03', '-0.16']","['900.80', '495.36', '820.47', '597.38', '208.95']"
349,Neil Industries Ltd,11.3,1.75,"['-0.35', '0.27', '0.22', '1.12', '-0.46', '0.43', '0.44', '0.43']","['-0.18', '0.14', '0.11', '0.57', '-0.24', '0.22', '0.23', '0.22']","['', '', '', '', '']","['465.22', '52.38', '68.22', '5.63', '-29.31']"
350,Adinath Exim Resources Ltd,26.0,3.31,"['0.08', '0.04', '0.22', '0.06', '0.04', '0.17', '0.14', '0.15']","['0.19', '0.09', '0.51', '0.14', '0.09', '0.39', '0.32', '0.35']","['0.02', '-0.01', '0.01', '0.01', '-0.02']","['0.00', '0.00', '0.00', '0.00', '0.00']"
351,Vishvprabha Ventures Ltd,,13.2,"['0.04', '0.02', '-0.01', '0.01', '0.01', '-0.02', '0.01', '0.02']","['0.24', '0.12', '-0.06', '0.06', '0.06', '-0.12', '0.06', '0.12']","['-0.01', '-0.01', '0.00', '0.02', '0.01']","['0.00', '0.00', '0.00', '0.00', '0.00']"
352,Amerise Biosciences Ltd,,-6.46,"['-0.04', '-0.01', '-0.01', '-0.01', '-0.01', '-0.01', '-0.01', '-0.02']","['-0.01', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00']","['-0.04', '0.01', '0.01', '0.01', '0.01']","['80.14', '', '', '', '']"
353,Prime Industries Ltd,160,1.86,"['0.21', '-0.03', '0.27', '-0.05', '0.56', '-0.03', '-0.02', '-0.03']","['0.13', '-0.02', '0.17', '-0.03', '0.35', '-0.02', '-0.01', '-0.02']","['0.03', '-0.01', '0.49', '-0.48', '0.00']","['3,376.25', '1,136.48', '2.10', '45.62', '0.00']"
354,Helpage Finlease Ltd,16.6,3.60,"['0.26', '0.11', '0.13', '0.13', '0.11', '0.12', '0.10', '0.08']","['0.26', '0.11', '0.13', '0.13', '0.11', '0.12', '0.10', '0.08']","['', '0.00', '', '0.12', '-0.08']","['', '0.00', '0.00', '0.00', '192.11']"
355,Enbee Trade & Finance Ltd,37.0,0.74,"['-0.06', '0.19', '-0.02', '-0.21', '-0.44', '-0.10', '0.49', '0.02']","['-0.37', '1.19', '-0.12', '-1.31', '-2.75', '-0.62', '3.06', '0.12']","['-0.02', '0.01', '-0.01', '0.00', '0.00']","['0.00', '0.00', '0.00', '0.00', '0.00']"
356,Surya India Ltd,69.2,-0.81,"['0.36', '0.60', '0.17', '0.29', '-0.83', '-0.30', '-0.33', '0.14']","['0.52', '0.86', '0.24', '0.42', '-1.19', '-0.43', '-0.47', '0.20']","['', '0.06', '-0.06', '0.07', '-0.04']","['0.00', '34.49', '12.59', '5.43', '5.07']"
357,Superior Finlease Ltd,,7.01,"['0.02', '0.06', '0.14', '0.00', '-0.03', '0.16', '0.45', '0.37']","['0.01', '0.02', '0.05', '0.00', '-0.01', '0.05', '0.15', '0.12']","['0.04', '-0.20', '0.02', '-0.02', '0.01']","['0.00', '0.00', '0.00', '0.00', '0.00']"
358,Advik Capital Ltd,25.1,0.42,"['-0.33', '0.04', '0.18', '0.08', '-0.20', '-0.02', '0.02', '0.02']","['-0.07', '0.01', '0.04', '0.02', '-0.04', '-0.00', '0.00', '0.00']","['-0.01', '0.00', '-0.07', '0.22', '-0.30']","['376.14', '300.88', '212.92', '84.09', '528.32']"
359,Sparkling (India) Finshares Ltd,,-8.56,"['-0.08', '-0.06', '-0.04', '-0.05', '-0.06', '-0.02', '-0.04', '-0.08']","['-0.20', '-0.15', '-0.10', '-0.12', '-0.15', '-0.05', '-0.10', '-0.20']","['0.03', '-0.02', '-0.00', '0.04', '-0.05']","['-0.00', '324.44', '60.83', '-0.00', '-0.00']"
360,Disha Resources Ltd,,3.80,"['-0.31', '-0.10', '-0.15', '0.07', '-0.29', '1.08', '0.00', '0.44']","['-0.42', '-0.14', '-0.21', '0.10', '-0.40', '1.48', '0.00', '0.60']","['-0.09', '0.00', '0.01', '0.04', '-0.04']","['50.15', '324.44', '225.95', '0.00', '0.00']"
