,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
89,Arman Financial Services Ltd,40.7,5.92,"['7.18', '12.11', '12.04', '13.56', '3.81', '5.31', '1.51', '2.92']","['12.49', '21.07', '20.84', '16.05', '4.51', '6.28', '1.78', '3.44']","['7', '-2', '8', '1', '-7']","['13', '12', '12', '15', '18']"
90,Consolidated Finvest & Holdings Ltd,1.53,33.6,"['-195', '31', '42', '33', '17', '44', '74', '51']","['-60.40', '9.47', '12.88', '10.13', '5.33', '13.74', '23.00', '15.85']","['-61', '2', '-5', '8', '-7']","['0', '0', '0', '0', '0']"
91,Mangalam Industrial Finance Ltd,"1,126",2.03,"['0.49', '0.50', '-0.83', '0.50', '-0.30', '0.61', '-0.35', '0.44']","['0.01', '0.01', '-0.01', '0.01', '-0.00', '0.01', '-0.00', '0.00']","['0.08', '-0.13', '0.03', '0.11', '0.05']","['0.00', '0.00', '0.00', '0.00', '0.00']"
92,Finkurve Financial Services Ltd,172,3.38,"['-1.19', '0.68', '0.42', '1.55', '1.39', '1.56', '2.48', '-0.47']","['-0.12', '0.06', '0.04', '0.14', '0.11', '0.12', '0.20', '-0.04']","['-1.29', '2.21', '2.00', '-2.47', '1.13']","['3.82', '2.32', '1.60', '4.49', '7.80']"
93,Oswal Green Tech Ltd,13.5,2.07,"['15.09', '14.03', '14.96', '13.41', '29.07', '16.85', '16.68', '4.27']","['0.59', '0.55', '0.58', '0.52', '1.13', '0.66', '0.65', '0.17']","['-32', '158', '-153', '-0', '0']","['932', '516', '205', '2,125', '3']"
94,Niyogin Fintech Ltd,,-2.44,"['-3.72', '-3.60', '-5.68', '-7.76', '-6.24', '-0.59', '0.05', '0.11']","['-0.44', '-0.42', '-0.66', '-0.90', '-0.73', '-0.07', '0.01', '0.01']","['', '', '0.02', '-0.01', '0.01']","['0.00', '0.00', '0.00', '0.00', '0.00']"
95,Monarch Networth Capital Ltd,10.7,29.2,"['3', '2', '0', '-0', '1', '2', '8', '3']","['1.13', '0.51', '0.08', '-0.05', '0.18', '0.61', '2.60', '0.95']","['-1', '-17', '-20', '-2', '4']","['305', '699', '862', '1,108', '498']"
96,Tourism Finance Corporation of India Ltd,6.89,10.4,"['26', '23', '19', '27', '12', '17', '22', '24']","['3.16', '2.84', '2.30', '3.39', '1.51', '2.05', '2.72', '2.98']","['-37', '-1', '17', '-17', '7']",[]
97,Delphi World Money Ltd,57.4,25.0,"['-36.75', '2.02', '3.59', '20.31', '13.27', '5.87', '18.27', '14.42']","['-33.03', '1.82', '3.23', '18.25', '11.92', '5.28', '16.42', '12.96']","['', '55.92', '2.18', '-17.52', '28.31']","['', '-0.61', '5.06', '3.56', '6.76']"
98,Systematix Corporate Services Ltd,40.8,1.73,"['4.26', '-3.08', '-3.29', '-3.70', '5.63', '-1.13', '5.33', '-1.30']","['3.28', '-2.37', '-2.53', '-2.85', '4.34', '-0.87', '4.11', '-1.00']","['0', '', '', '-8', '-6']","['1', '294', '304', '435', '167']"
