,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
138,Onelife Capital,-2,-148.75,0.11,"['5.66', '-55.72', '0.40', '2.52']","['-0.06', '-1.91', '-0.08', '0.05']","['0.09', '-1.78', '0.01', '0.13']"
139,Acme Resources,0,-3.62,0.46,"['-38.23', '1.77', '-1.88', '0.59']","['-12.73', '0.49', '-6.86', '-1.36']","['-16.57', '4.84', '-3.29', '3.34']"
140,Comfort Comm,0,0.00,0.23,"['44.27', '42.82', '1.09', '15.83']","['39.63', '8.84', '-0.61', '9.77']","['47.77', '13.87', '0.30', '11.08']"
141,Ekam Leasing,0,0.00,0.13,"['2.98', '-6.16', '1.72', '1.85']","['3.77', '-4.50', '3.57', '3.74']","['4.47', '-10.08', '4.35', '9.86']"
142,Khandwala Sec,-1,-10.47,0.89,"['-1.30', '-3.44', '1.66', '-1.79']","['-8.27', '-16.59', '0.75', '-3.03']","['-3.53', '-9.50', '1.21', '-1.65']"
143,Toyam Ind,0,140.00,4.26,"['--', '--', '', '']","['2.40', '0.77', '', '']","['2.28', '0.67', '', '']"
144,Shri Krishna,0,12.58,0.64,"['2.84', '1.48', '1.82', '2.20']","['5.08', '1.81', '2.95', '4.67']","['8.02', '5.65', '6.31', '8.33']"
145,Integrated Cap,0,29.29,1.27,"['11.48', '0.11', '-2.47', '4.72']","['32.32', '-2.94', '-62.57', '4.77']","['19.68', '0.20', '-3.67', '6.50']"
146,DB (Int) Stock,-5,95.00,0.75,"['14.44', '9.27', '-16.76', '8.00']","['0.75', '6.36', '-6.71', '1.37']","['11.94', '10.21', '-7.79', '2.29']"
147,Mercantile Vent,10,17.49,0.48,"['10.42', '9.93', '11.08', '10.74']","['3.73', '9.50', '2.45', '0.44']","['3.38', '3.40', '2.09', '2.64']"
148,Siddha Venture,0,0.49,0.07,"['--', '--', '--', '--']","['13.72', '-4.42', '-0.39', '-22.94']","['13.69', '-3.97', '-0.51', '-22.82']"
149,Utique,3,0.00,0.45,"['6,849.15', '8,168.86', '4,910.13', '--']","['10.77', '14.66', '0.60', '1.31']","['6.42', '8.33', '0.31', '0.69']"
150,Viji Finance,0,14.00,0.51,"['16.31', '6.94', '15.90', '50.63']","['4.00', '1.26', '3.18', '13.69']","['5.36', '2.01', '6.54', '17.90']"
151,VLS Finance,87,1.42,0.13,"['5,513.71', '-72.56', '-1,374.67', '3,191.19']","['9.10', '2.24', '-0.32', '8.31']","['6.77', '-0.21', '-0.80', '10.38']"
152,Alfavision Sec,0,85.56,1.23,"['1.57', '1.09', '1.07', '1.11']","['14.58', '1.99', '1.92', '2.64']","['13.10', '10.12', '15.33', '13.29']"
153,BN Rathi Sec,-9,2.62,0.50,"['8.37', '5.17', '5.35', '12.68']","['14.64', '8.04', '5.90', '13.35']","['22.33', '13.07', '11.25', '20.05']"
154,Ajcon Global,1,9.53,0.79,"['2.70', '-0.23', '1.09', '1.64']","['8.28', '-8.94', '0.63', '3.74']","['12.09', '-1.51', '9.46', '11.85']"
155,Keynote Finance,-21,2.65,0.36,"['13.18', '-2.58', '0.21', '5.13']","['13.27', '-5.76', '-1.36', '7.40']","['16.04', '-4.11', '0.29', '12.08']"
